movieCd,userid,score
20205249,1,2
20134727,2,4
20183093,5,3
20128933,1,1
19428015,2,3
20219626,5,4
20211669,1,3
20191282,1,1
20211809,3,5
20210243,2,1
20211792,1,2
20202405,2,1
20211791,4,1
20211782,4,5
20211781,3,5
20209182,3,4
20211238,3,3
20211419,2,3
20211417,2,2
20211433,3,4
20211570,5,1
20211566,1,1
20210029,4,5
20211548,5,2
20211546,2,2
20211562,5,1
20211543,4,2
20211542,2,5
20211541,5,5
20211755,3,2
20211772,3,4
20211771,4,4
20217198,3,1
20210972,5,4
20209184,1,4
20211529,5,1
20211752,5,1
20211313,4,1
20217104,1,1
20211547,5,3
20218685,5,3
20216056,5,5
20211743,2,2
20098163,3,5
20211725,5,4
20211736,1,2
20211741,1,3
20196763,1,4
20190324,1,2
20058559,4,2
20204144,2,4
20211366,4,2
20204100,4,4
20078748,5,1
20211403,5,3
20211219,3,5
20217215,2,2
20088465,1,5
20211688,4,1
20211658,2,2
20211194,4,1
20211211,1,3
20210963,2,2
20210937,5,1
20210301,4,1
20217190,2,2
20217184,4,2
20211684,4,2
20210292,2,2
20202254,2,4
20200506,5,3
20173502,5,1
20119437,1,3
20111932,5,2
20211683,5,3
20134267,4,4
20207498,5,3
20211682,4,4
20211681,5,4
20217178,2,1
20011492,3,2
20060686,2,1
20060712,3,2
20135897,3,2
20211651,5,5
20140226,2,3
20125048,2,2
20217489,2,2
20217131,1,2
20210587,3,5
20210388,5,4
19950190,2,3
20211265,5,3
20211596,1,1
20211309,2,1
20211623,2,2
20128632,5,4
20128590,3,2
20204548,1,1
20211559,5,4
20211558,1,2
20211557,3,3
20217179,5,3
20211216,4,3
20211571,3,5
20184429,3,2
20210962,2,1
19970035,5,1
19960024,4,4
20211569,3,4
20211567,5,3
20200523,5,1
20217839,3,5
20211550,4,3
20211101,3,4
20209948,2,5
20211563,5,3
20200155,1,3
20217391,1,5
20210709,4,4
20211539,1,5
20209186,3,2
20219826,1,1
20210302,2,2
20210601,5,4
20219627,4,4
20219910,3,4
20156531,2,2
20211510,3,3
20194071,4,3
20211528,2,3
20210588,1,3
20219964,4,2
20211525,2,4
20211524,1,5
20218256,1,4
20190582,1,5
20211523,1,1
20211522,3,4
20219464,4,2
20210609,4,1
20010023,5,3
20209349,4,2
20209143,5,4
20190969,4,1
20211490,5,3
20211489,4,4
20211474,4,3
20210677,3,5
20211472,1,4
20211483,1,1
20202462,4,2
20143501,4,4
20177539,4,2
20211088,2,5
20210577,5,3
20210869,3,5
20211030,3,2
20210713,1,3
20210392,5,2
20210760,4,5
20210385,2,3
20210372,3,1
20189301,5,3
20210759,2,1
20210867,4,2
20211441,1,5
20211418,5,3
20218189,4,3
20209946,1,1
20194980,5,3
20211432,1,1
20218647,1,4
20211408,3,3
20210222,4,2
20211428,1,4
20164086,3,5
20197891,3,3
20217648,5,5
20211421,3,1
20211061,2,5
20218480,5,1
20210865,2,3
20211210,4,3
20000243,5,4
19870154,5,1
20211402,2,4
20159294,1,4
19790106,4,3
19778076,1,2
20211400,3,3
20211399,1,1
20211398,3,2
20125314,1,1
19658023,1,4
20211401,3,3
20211397,5,3
20211380,4,2
20211379,3,5
20208351,5,3
20199928,5,5
20211377,4,5
20200364,3,4
20219096,5,1
20210382,4,5
20211158,4,3
20211341,1,2
20211391,1,5
20211390,1,3
20211388,1,5
20211271,3,3
20211368,2,4
20210683,1,2
20211105,3,5
20211319,1,3
20196270,1,3
20210384,3,1
20211213,3,3
20210758,2,1
20217177,4,5
20173834,4,3
20211344,5,5
20210785,5,5
20192596,4,5
20211324,5,3
20202927,4,5
20210800,4,4
20216021,1,2
20211269,4,2
20211288,1,3
20210381,2,4
20210997,4,3
20218479,5,2
20211270,2,4
20211264,5,1
20181613,1,3
20209138,3,5
20218758,2,3
20195002,2,3
20219710,1,3
20125467,4,5
20030440,2,5
20147788,4,2
19930086,4,5
19869057,2,1
19850019,1,1
20209111,1,3
20197394,2,2
20197601,3,2
20172309,5,2
20217950,1,1
20190861,2,2
20205262,2,5
20175302,2,1
20191969,1,4
20219077,3,3
20218014,4,3
20207531,2,4
20206021,5,1
20178401,5,5
20215127,3,3
20218347,3,3
20192194,2,4
20195361,2,2
20192697,1,1
20215108,4,3
20201468,3,1
20050017,1,3
20010017,4,3
20200524,4,2
20072152,5,5
19940020,2,1
19980028,2,3
19960055,2,1
20192815,4,5
20156538,3,2
20219351,4,3
20219115,2,3
20210087,3,4
20209206,5,3
20200295,3,4
20209297,1,2
20190601,4,4
20209269,5,4
19920246,4,2
20218870,4,5
20178707,1,2
20182566,2,4
20211222,4,1
20211218,2,1
20210135,1,3
20218813,4,1
20209934,1,5
20217127,3,3
20196749,5,2
20219882,5,2
20179142,3,2
20211200,2,3
20210242,1,2
20211209,5,1
20210575,2,1
20219457,2,4
20218052,1,3
20210580,5,3
20204666,5,1
20210786,5,2
20191785,4,2
20211160,1,1
20211175,2,4
20153463,1,2
20210948,5,4
20211156,5,4
20078360,3,4
20190726,3,3
20211166,1,3
20190815,5,1
20211115,3,1
20211054,3,3
20210933,3,5
20218006,3,3
20184327,5,5
20138315,2,3
19718052,2,1
20211092,2,1
20211090,3,5
20211104,4,1
20202853,4,2
20211085,5,1
20218885,4,1
20218500,4,5
20217508,5,1
20210304,1,1
20218198,2,4
20194921,3,3
20197434,2,5
20217372,4,3
20198432,4,1
20176947,5,1
20209294,1,1
20209137,3,4
20159363,5,1
20204132,3,1
20196801,2,1
20211062,2,3
20211049,5,1
19990056,5,5
20080637,1,3
20050232,4,2
20135891,3,1
20191546,1,1
20124013,3,2
20173734,1,1
20020238,3,2
20144444,5,2
20120425,2,2
20140704,5,3
20090306,1,3
20127027,5,2
20211028,5,5
19950123,1,5
20190300,3,5
20060586,3,5
20070279,1,1
20021326,5,1
20211025,3,5
20211024,3,5
20110350,5,5
20211023,2,2
20210999,1,2
20210570,4,5
20210996,1,2
20208962,4,1
20210035,5,2
20219816,2,5
20210361,3,1
20209949,1,5
20219466,2,1
20200474,5,4
20210965,4,5
20210848,1,4
20218671,5,2
20210961,4,5
20203689,1,4
20209134,1,1
20210866,3,3
20210724,3,3
20219741,1,4
20215970,4,4
20210954,2,1
20218986,3,3
20210950,1,1
20210934,3,4
20210941,1,2
20215741,5,5
20192623,1,3
20210931,3,4
20199500,1,3
20218689,1,5
20199718,2,2
20196478,2,4
20208101,5,5
20210930,2,1
20204826,1,4
20210896,2,1
20179341,1,5
20081425,2,3
20210894,5,3
20068994,4,5
20210927,1,5
20210926,3,1
20210925,2,5
20210893,4,3
20219025,2,4
20182591,1,1
20192662,5,5
20081656,3,3
20040606,2,5
20163058,3,2
20200703,1,5
20136861,4,1
20121613,4,2
20121614,2,3
20181807,3,5
20138661,3,3
20206547,2,3
20170321,5,2
20189331,1,2
20159355,2,2
20112861,2,1
20101346,5,3
20090842,3,4
20210872,1,1
20210849,1,3
20210871,1,4
20210846,1,5
20210717,5,5
20210845,3,5
20210716,3,1
20219881,5,3
20210868,4,2
20210246,2,4
20219277,3,2
20210032,4,2
20202688,5,2
20191803,5,5
20184641,4,5
20219769,2,2
20210818,3,2
20210824,3,5
20210613,2,3
20210109,5,4
20219599,1,3
20201784,2,4
20194644,2,4
20180202,2,3
20210813,2,5
20196717,5,4
20200604,3,4
20210792,3,3
20210804,3,3
20210791,5,2
19468006,4,4
20210643,5,3
20210289,1,1
20210288,4,3
20207582,3,5
20200418,4,4
20205521,5,1
20219925,5,2
20191061,5,3
20216983,1,5
20210803,1,3
20219745,1,4
20145141,2,1
20210781,4,2
20193082,4,3
20210666,1,3
20218604,4,1
20219311,3,3
20219770,4,1
20219822,1,3
20210134,2,1
20210751,3,5
20210761,1,2
20210740,3,5
20210718,4,4
20210739,2,1
20210738,5,5
20210729,4,1
20210728,5,4
20122223,5,3
20191562,4,4
20191846,3,3
20176701,3,2
20210721,2,4
20218210,5,2
20188393,4,2
20217427,1,2
20072140,5,1
20210688,3,1
20181741,5,1
20210704,4,3
20210703,1,2
20101116,1,5
20168149,3,2
20210126,1,3
20210674,4,2
20210355,2,3
20202521,2,2
20217174,1,4
20210670,2,2
20210669,1,3
20210668,3,2
20153062,2,3
20210667,2,1
20020053,3,5
20210541,4,2
20218965,5,2
20219118,2,4
20210620,2,4
20218783,2,3
20210104,1,2
20210155,1,3
20183910,1,4
20139221,3,1
20217742,1,3
20201002,3,4
20197231,4,3
20204117,4,2
20210603,2,4
20210545,2,4
20216801,1,2
20219892,1,3
20196609,2,2
20210515,2,5
20218036,4,1
20219331,3,3
20219383,2,1
20218834,2,4
20030039,1,2
20210406,3,3
20050265,5,5
20210490,2,5
20219934,2,5
20210542,1,4
20176673,1,2
19990317,1,4
20210488,4,3
20210520,5,1
20119699,5,4
20210519,4,2
20210518,5,4
20061035,5,2
20210517,3,2
20147110,5,3
20210485,1,4
20166365,5,3
20210505,1,3
20191962,5,2
20210458,1,5
20219185,3,2
20210420,4,3
20210419,2,5
20218653,5,1
20210455,1,1
20209273,3,1
20210405,1,4
20218790,4,5
20217491,4,2
20210039,5,1
20210241,2,4
20219309,5,2
20209932,3,3
19900248,3,2
19900118,1,5
19870114,3,1
20194915,4,5
20194528,5,5
20183003,4,4
20218904,4,1
20218826,5,2
20219426,1,4
20210183,2,5
20219767,2,2
20205155,3,2
20219848,1,3
20218395,1,2
20202185,1,4
20078695,2,2
20168707,5,2
20210330,5,5
20182621,1,3
20090213,4,2
19979118,1,2
20010291,2,5
20197107,3,4
20210269,4,2
20210266,2,3
20210265,5,5
20210264,3,5
20139083,3,3
20028864,5,5
20070202,4,5
20111116,5,4
20101218,2,5
20219075,2,5
20219924,2,4
20219589,2,4
20219815,4,5
20219726,2,5
20219888,3,5
20190353,3,3
19930125,3,3
20209132,4,2
20218984,2,5
20218798,3,2
20219100,3,3
20210225,3,4
20210180,5,1
20088850,1,1
20168706,5,2
20161872,1,4
20190280,1,5
20219130,4,3
20202785,2,4
20219893,2,3
20210063,4,4
20210170,2,2
20198281,2,2
20021031,2,5
20210164,2,1
20210158,3,5
20210163,4,1
20210157,4,4
20210156,3,2
20210162,1,5
20217857,4,2
20210161,4,3
20101233,1,1
20132796,1,5
20193642,5,2
20072091,4,1
20217121,5,1
19910238,4,5
20210138,5,2
20170585,5,2
20210152,4,1
20149933,1,4
20210147,2,2
20210145,5,1
20210131,3,1
20210130,5,5
20200343,3,3
20219333,4,5
20181790,4,2
20219227,2,3
20217509,1,5
20218949,5,2
20219551,4,5
20218985,3,4
20219328,4,4
20209404,1,4
20215002,5,5
20219866,4,2
20198317,3,2
20194242,5,5
20219381,2,1
20217824,5,5
20193666,5,2
20203863,2,4
20198461,2,4
20192680,4,5
20200142,1,4
20191143,3,2
20217858,3,2
20218114,3,1
20218113,2,4
20215046,5,2
20218246,5,1
20218333,4,3
19970316,1,5
19980086,4,3
20120321,3,1
20190298,1,5
20198501,5,4
20219901,3,4
20200404,1,2
20219995,3,3
20219978,1,3
20219993,5,3
19950012,4,4
20209945,3,5
20205606,5,1
20218680,4,5
20219984,2,2
20219647,2,5
20169284,5,3
20201845,5,5
20209296,1,3
20219794,4,3
20219564,4,5
20216050,3,5
20219276,5,2
20219908,3,2
20219906,1,3
20219905,2,5
20218392,3,5
20217708,4,2
20219744,2,1
20218364,4,5
20200292,5,4
20219847,2,5
20219835,5,1
20060450,4,4
20181307,4,2
20204816,5,5
20219831,4,2
20219844,4,5
20219823,2,2
20189326,2,4
20219819,2,3
20191681,5,5
20198482,2,5
20208333,1,5
20199816,2,2
20101013,4,1
20218149,2,3
20219632,5,4
20196862,5,1
20198679,4,3
19940321,3,5
19940225,4,3
19940161,1,2
19910313,3,1
19950306,1,3
19970209,2,3
20219809,2,3
20215607,2,2
20219791,5,1
20219808,5,2
20209424,5,4
20219807,5,1
20219790,4,3
20219806,1,3
20219789,5,3
20219805,2,1
20219788,4,2
20219804,4,5
20219783,1,3
20219782,3,2
20219781,2,3
20219780,5,4
20219779,1,5
20219778,4,3
20219777,3,1
20219776,5,2
20219775,1,2
20198053,4,4
20060423,3,1
20219768,3,2
20219743,4,2
20219742,4,3
20219740,4,5
20192986,3,3
20000229,4,5
20020189,3,3
20183430,1,4
20176041,2,5
20219721,5,4
20219719,3,4
20199022,4,2
20219717,1,1
20219725,2,5
20219712,4,4
20217905,2,4
20217986,1,1
20081635,4,2
20218871,3,2
20219652,1,4
20207585,3,1
20219631,4,5
20219646,5,1
20219645,3,1
20219644,5,4
20219629,5,2
20219603,4,2
20219458,1,1
20190469,1,3
20219597,2,5
20150968,2,3
20163098,2,2
20153741,1,1
20158482,5,5
20143513,1,3
20196759,4,5
20219275,3,1
20218875,3,1
20219612,1,4
20219610,3,4
20218905,5,4
20219206,2,3
20218815,2,4
20217845,3,2
20192123,2,4
20219057,4,2
20218884,1,5
20205144,1,1
20209982,2,4
20205608,3,1
20149703,5,1
20201601,4,3
20215969,3,1
20206832,1,4
20200872,1,5
20190808,3,4
19720031,4,5
20142405,2,5
20219546,2,2
20218431,5,5
20218858,2,1
20218501,1,2
20218457,1,2
20218412,5,4
20194461,5,4
19900174,1,1
20020213,4,1
20218825,1,1
20202241,2,5
20204568,4,4
20219405,5,1
20200916,2,5
20183407,5,1
20218567,3,4
20219099,5,3
20218960,3,3
20218803,2,3
20217994,3,5
20218756,5,4
20177932,3,1
20219469,4,5
20219467,3,4
20202182,5,1
20218349,3,1
20203553,3,4
20216567,3,4
20219455,2,2
20219450,4,2
20204382,3,5
20123014,5,4
20218240,2,3
19728127,3,5
20136381,5,1
19618013,2,1
20219403,3,2
20219401,2,1
20113175,3,3
20219398,3,3
20129040,3,3
20219380,2,5
20136041,4,5
20219379,5,4
20219397,2,1
20219377,3,5
20219396,4,2
20219395,1,4
20219357,3,1
20219341,5,1
20218205,5,4
20219038,2,4
20218203,4,3
20218690,1,5
19850008,5,4
20193385,5,1
20219344,3,5
20218947,1,5
20218840,5,4
20191951,5,4
20195947,2,2
20152358,4,3
20172779,1,1
20218348,2,1
20219319,2,5
20168708,4,1
20202784,5,3
20218801,2,5
20217154,1,1
20214842,4,5
20216065,3,4
20205705,5,5
20219037,2,5
20209870,4,2
20218475,1,1
20219241,5,3
20100457,2,3
20148534,1,4
20200237,2,1
20088404,5,1
20218391,3,1
20217587,2,2
20202602,5,2
20200339,1,4
20219263,2,5
20219260,2,5
20219259,5,5
20218016,1,1
20200566,5,4
20201786,2,2
20219247,4,3
20219246,3,1
20219231,2,4
20219229,4,3
20208286,2,1
20219228,1,1
20218661,4,2
20190013,3,1
20217024,5,4
20172464,5,1
19970024,3,3
20201464,2,2
20216303,1,2
20203446,2,3
20217220,5,4
20088702,5,3
20214829,1,4
20218324,3,3
20196181,3,4
20219120,1,3
20219119,3,4
20219137,3,4
20193401,4,3
20219127,2,3
20218344,2,5
20200303,3,5
20199563,1,3
20216107,4,1
20218228,2,4
20217490,5,2
20168703,2,2
20147108,4,3
20219103,4,2
20219082,5,3
20153068,2,4
20215223,2,5
19628021,4,5
19348009,2,5
20131106,5,5
20080610,4,1
19788148,4,5
20219080,1,5
20219102,4,5
20217785,2,1
20202625,3,5
20219074,2,5
20209128,5,3
20209290,4,4
20180768,3,1
20218481,2,5
20218580,4,5
20217103,2,3
19810038,3,4
19800129,1,5
20209515,3,1
20219039,3,3
20030074,4,4
20218846,5,4
20192696,3,3
20216204,2,5
20186649,2,3
20205583,3,4
20208167,1,1
20206934,1,1
20192828,5,2
20180745,3,3
20198375,5,1
20218974,5,2
20218784,5,3
20219009,2,5
20196131,4,3
20218959,1,3
20196182,5,5
20196133,1,3
20196185,2,5
20218958,2,3
20198161,5,5
20219007,1,2
20219006,3,1
20208276,1,3
20160476,5,1
20218302,1,5
20218802,4,4
20218325,1,2
20218845,5,4
20218952,2,4
20218983,3,4
20218982,1,1
20218980,3,5
20218979,2,3
20218978,1,3
20218951,3,4
20217668,2,2
20217947,2,1
20197748,4,5
20196680,2,4
20218886,4,1
20070262,5,5
20050123,4,5
20207587,1,2
20217330,2,2
20218926,1,3
20217892,3,5
20218770,1,3
20218387,3,3
20218908,5,4
20218874,2,5
20202471,4,3
20200865,1,1
20110254,3,4
20122135,2,1
20208554,4,4
20215582,5,1
20201695,4,4
20218212,4,4
20218600,5,1
20218670,1,4
20217880,1,1
20218707,5,3
20218837,1,1
20030131,2,5
20204790,4,1
20218121,3,1
20217510,3,3
20218338,3,3
20218206,3,4
20208358,3,2
20218453,4,4
20209662,2,1
20217893,3,4
20060828,5,1
20218844,2,4
20218358,5,2
20218359,1,2
20218797,4,1
20174654,5,1
20218804,3,5
20218067,1,3
20218781,1,3
20218780,5,2
20183385,1,5
20218276,1,5
20183370,5,2
20155418,4,5
20218764,5,2
20200246,2,3
20200416,1,4
20218587,4,3
20202537,5,3
20196282,2,1
20218218,1,2
20204606,4,5
20030067,1,3
20218751,5,2
20135545,3,3
20196348,3,1
20194584,5,2
20185286,1,4
20080269,3,4
20190084,2,4
20071054,5,2
20217731,2,3
20205965,5,1
20218057,4,5
20215161,1,5
20217676,2,4
19530015,3,4
19910355,4,2
20216241,1,2
20218252,5,1
20216581,5,4
20080910,5,2
20182782,3,4
20209146,5,4
20185269,3,2
20201875,1,5
20193874,1,3
20166194,5,3
20218706,1,4
20218022,4,1
20198823,3,4
20205721,4,3
20209926,1,3
20170610,2,5
19940047,2,1
19890010,5,3
20182466,4,1
20216685,5,5
20209268,1,2
20138107,3,1
20136184,1,1
20138106,4,5
20168705,3,4
20168685,2,1
20168686,4,5
20154765,3,3
20154767,5,4
20143267,1,4
20138110,5,1
20218667,3,2
20218666,2,4
20218665,2,1
20218646,4,4
20218645,4,3
20218664,3,4
20217897,4,2
20204261,4,1
20010251,1,4
20216644,4,1
20216643,4,2
20218432,2,4
19910011,5,4
20209933,5,1
20200824,1,5
20208353,5,1
20201761,2,5
20200421,1,3
20206935,4,3
20218590,1,1
20190810,2,5
20216598,3,5
20216578,4,1
19900080,5,1
20214763,5,3
20218564,2,5
20135464,3,4
20070358,3,3
20204705,4,2
20217160,3,3
20190683,1,4
20110762,4,1
20164052,1,4
19608022,2,2
20217692,3,5
20184541,4,2
20183137,3,5
20215126,5,4
20202501,4,4
20198663,1,2
20217126,1,4
20209244,2,1
20204098,2,1
20197691,5,5
20188462,1,1
20168842,4,5
20010130,2,2
20218337,4,4
20201844,1,4
20198484,4,1
20201024,3,2
20195962,1,4
20201792,5,3
20218304,1,2
20217651,4,5
20218211,5,3
20218483,1,2
20218482,4,2
19920065,5,3
19880034,3,2
20140076,3,3
20124737,3,1
19690112,2,2
20135640,1,3
20127228,3,1
20218419,4,3
20071059,3,4
19658019,2,3
20149939,4,1
20218418,2,3
20218417,1,1
20136836,2,4
20080944,1,3
20174718,3,3
20155806,3,3
20162297,5,4
19588029,1,5
20218416,1,4
20218414,4,4
20218413,3,5
20216083,3,5
20102422,2,2
20149067,3,1
20122064,5,1
20072077,1,2
20175162,3,3
20179023,2,4
20205041,2,4
20068742,2,5
20218251,1,3
20218383,2,4
20184722,2,1
20217514,5,1
20217736,5,2
20218217,1,4
20217707,2,4
20218123,3,5
20218363,3,4
20177881,3,1
20204828,5,1
20186883,1,2
20188621,3,3
20218361,2,1
19868165,5,2
19920101,2,1
20131541,5,5
20216362,1,1
20218352,2,1
20218351,5,2
20201747,5,3
20196753,5,5
20191030,1,2
20181206,1,5
20198950,3,5
20193068,2,5
20218047,2,4
20217989,2,5
20217991,1,1
20218009,3,1
20217987,3,5
20217500,1,1
20202084,1,2
20209144,5,1
20215967,2,4
20196675,5,5
20200433,4,4
20208315,1,4
20133951,1,3
20218294,2,2
20218293,1,4
20218292,5,3
20197391,1,5
20218291,3,1
20218290,2,5
20218289,1,3
20218288,1,3
20218287,3,1
20218286,3,1
20218285,5,4
20218284,2,5
20218283,4,4
20218282,2,4
20218281,2,3
20218280,2,3
20217727,5,4
20217724,4,5
20217497,2,3
20202724,1,1
20218275,4,3
20218274,2,1
20218273,2,2
20218272,3,3
20218270,4,2
20218271,5,5
20218269,5,2
20218268,2,4
20177949,4,2
20181168,3,4
20010084,1,3
20199630,3,2
20090683,5,1
20196299,4,3
20217998,3,3
20217997,4,5
20190204,1,5
20190542,5,4
20218242,1,1
20209298,5,5
20202585,1,3
20209947,4,4
20217512,1,5
20205619,1,1
20218015,1,3
20218204,5,5
20218202,4,3
20190645,3,5
20101413,2,3
20011456,5,3
20200522,4,3
20194501,4,4
20218186,1,4
20208439,3,4
20125607,3,2
20208314,3,3
20217739,2,3
20218044,1,5
20217478,2,3
20217948,1,1
20217899,5,4
20160743,5,1
20217675,4,5
20216904,4,3
20216494,5,4
20215461,5,4
20202368,1,3
20217545,3,1
20197801,5,4
20217684,5,3
20214863,3,2
20216843,1,1
20207567,3,4
20217426,3,5
20209627,2,3
20040487,5,3
20010241,3,1
20205729,3,4
20203204,1,2
20196775,5,5
20199144,1,1
20201691,2,1
20218118,4,4
20176704,5,2
20216894,2,3
20202066,3,2
20207226,5,3
20192121,1,1
20202434,2,4
20182983,5,4
20110100,2,3
20195717,2,5
20217475,3,4
20173063,3,4
20218107,3,1
20173089,2,3
20208397,4,4
20218088,1,2
20195615,4,3
20218093,2,1
20165466,4,4
20177325,2,5
20192159,3,5
20196725,3,4
20177467,2,4
20197505,2,2
20183369,5,4
20155410,1,4
20216638,5,1
20208924,3,3
20207342,2,2
20217484,4,3
20199699,4,4
20215467,2,4
20218090,1,5
20218089,3,4
20218087,3,2
20218085,5,5
20218084,5,4
20200844,3,4
20122751,4,2
20185624,4,5
20180292,3,2
20218082,3,1
20194605,2,5
20132799,4,3
20209021,3,5
20216703,1,2
20216432,1,2
20218066,4,1
20176706,5,5
20185201,3,2
20218001,5,2
20217741,2,1
20191104,2,2
20147714,5,3
19890271,1,2
20218059,5,1
20119132,4,2
20218058,3,2
19658025,4,1
20114812,4,3
20216673,4,1
20218055,2,4
20218056,5,2
19558033,2,2
20218054,4,5
20218050,2,5
20218048,3,5
20217890,4,5
20218037,2,1
20199932,2,5
20176702,1,5
20214812,4,1
20193261,3,3
20192229,4,5
20214727,1,4
20196441,4,4
20200485,1,2
20199878,4,2
20205620,3,3
20217122,5,4
20196222,1,2
20216764,5,2
20181172,3,5
20190866,1,4
20207384,4,4
20217825,3,4
20217551,1,2
20193182,4,4
20185024,4,4
20217993,2,2
20040462,1,2
20080691,5,4
20217984,3,3
20204812,1,2
20217981,3,3
20192704,4,1
20217951,4,3
20217976,3,1
20201609,3,1
20217740,4,3
20217666,4,5
20217665,3,1
20200162,5,3
20040598,2,4
20207496,3,3
20173805,2,5
20216921,5,1
20216687,4,5
20217432,1,3
20217369,4,1
20202179,1,5
20217263,5,4
20216366,2,4
20202246,1,4
20217685,2,4
20217767,1,5
20217927,3,3
20216584,5,4
20217022,4,3
20217004,3,3
20216992,3,4
20217025,4,4
20217021,5,2
20165901,5,4
20216772,4,4
20217788,1,5
20204323,1,3
20180666,5,1
20138604,2,2
20028576,2,5
20020281,5,2
20050214,4,3
20050097,1,5
20050096,3,5
19908062,5,5
19898502,1,3
20050098,5,2
20182503,2,4
20217883,3,3
20217882,5,2
20189848,1,3
20179164,4,1
20154034,3,3
20170302,2,1
20217278,2,1
20217889,5,5
20217888,1,5
20197843,1,1
20217384,2,1
20157930,5,2
20217884,5,2
20190642,1,2
20217877,4,3
20217874,3,3
20217870,1,3
20217869,2,5
20124375,2,2
20217868,4,1
20217867,1,3
20124376,3,1
20217866,2,2
20217865,3,5
20124374,3,3
20217864,5,2
20217863,4,3
20217862,4,1
20200841,4,1
20184527,2,2
20173995,1,5
20217861,1,2
20162926,5,1
20133569,4,1
20190480,5,2
20217028,4,2
20202090,3,3
20217859,1,2
20217855,2,1
20191302,3,1
20217849,5,3
20208598,5,1
20137103,3,5
20217837,5,4
20127190,2,5
20182728,1,1
20217412,5,3
20010092,2,2
20216646,3,2
20209564,4,4
20217649,4,4
20207956,4,4
20217775,5,4
20081397,1,3
20156536,3,2
20217367,4,4
20208469,4,4
20216492,5,4
20136287,3,2
20177501,1,3
20078582,5,3
20217730,3,1
20128588,4,4
20214867,1,5
20121627,1,1
20190323,3,2
20175564,4,3
20217434,4,5
19770088,4,3
20214847,1,1
20217691,5,2
20216710,3,4
20216120,4,5
20181024,3,5
20178341,5,4
20209126,2,4
20201692,3,4
20215803,3,5
20217645,1,5
20216364,5,2
20193944,3,5
20183372,1,3
20215933,3,1
20216069,4,2
20126212,1,4
20215862,1,3
20156968,4,5
20158593,5,4
20216064,4,5
20190299,1,4
20216848,3,5
20217606,2,2
20136866,3,3
20217346,2,3
20204388,1,4
20200232,5,3
20217569,3,5
20217584,1,2
20175684,4,3
20217568,1,3
20217567,5,5
20217565,1,4
20217155,5,4
20195618,2,4
20196906,4,1
20200065,1,5
20191452,1,5
20200842,4,3
20217171,2,2
20113473,3,1
20215750,3,5
20217309,2,3
20217494,5,3
20205301,5,3
20200502,4,2
20217526,3,4
20195442,4,1
20200322,1,1
19900203,2,4
20217527,4,4
19900204,3,5
20190811,1,1
20217284,5,2
