,pred
132,0.9948461
133,0.9948461
134,0.9948461
135,0.9948461
136,0.9948461
137,0.9948461
138,0.9969064
139,0.9956995
140,0.9935395
141,0.9980296
142,0.9980041
143,0.99404156
144,0.99644846
145,0.9983631
146,0.99656665
147,0.98650855
148,0.9975101
149,0.997609
150,0.99752367
151,0.9987738
152,0.9618552
153,0.99735916
154,0.9975128
155,0.99633867
156,0.9961759
157,0.9956211
158,0.98715305
159,0.99682593
160,0.99728537
161,0.99800724
162,0.99691784
163,0.99646723
164,0.9971173
165,0.99411345
166,0.9976975
167,0.99682164
168,0.99747777
169,0.9982814
170,0.9984911
171,0.99646187
172,0.9882257
173,0.99332863
174,0.9939506
175,0.9890361
176,0.9955641
177,0.9992801
178,0.9969077
179,0.99515283
180,0.9974125
181,0.98757803
182,0.9959582
183,0.9963456
184,0.9953189
185,0.989831
186,0.9975246
187,0.99273133
188,0.98997724
189,0.9972844
190,0.9968811
191,0.9955201
192,0.9505478
193,0.9826062
194,0.9995371
195,0.996686
196,0.997792
197,0.99979186
198,0.9966106
199,0.99595875
200,0.99794084
201,0.9950975
202,0.99361336
203,0.9881702
204,0.9968108
205,0.9977609
206,0.99563646
207,0.99945754
208,0.99799085
209,0.99707603
210,0.99614465
211,0.9968092
212,0.9983264
213,0.9965117
214,0.9963981
215,0.99025154
216,0.9929978
217,0.99436915
218,0.99643004
219,0.9943745
220,0.99514794
221,0.99573946
222,0.9970751
223,0.9982127
224,0.9984635
225,0.9980701
226,0.9979246
227,0.9971323
228,0.9998754
229,0.99628055
230,0.9966396
231,0.99765044
232,0.99734986
233,0.99766934
234,0.99145246
235,0.9960034
236,0.99613535
237,0.9843581
238,0.9973117
239,0.99736345
240,0.994191
241,0.9966244
242,0.9877477
243,0.99707645
244,0.99793965
245,0.9960065
246,0.9958792
247,0.9958792
248,0.994351
249,0.9986017
250,0.99877447
251,0.9965955
252,0.99313694
253,0.99694467
254,0.99677145
255,0.99065256
256,0.9970855
257,0.99762183
258,0.9963552
259,0.9989127
260,0.98923874
261,0.99590254
262,0.99715084
263,0.99720746
264,0.9975084
265,0.99578714
266,0.9985499
267,0.99509203
268,0.99813855
269,0.99801207
270,0.9987946
271,0.99585605
272,0.99173915
273,0.9953064
274,0.9994238
275,0.9956876
276,0.99697614
277,0.99534154
278,0.996852
279,0.99436224
280,0.99404716
281,0.9986246
282,0.9990685
283,0.9967017
284,0.99621785
285,0.99758494
286,0.98763907
287,0.9974413
288,0.9981206
289,0.99642193
290,0.9829167
291,0.9968416
292,0.97413737
293,0.99423134
294,0.9986103
295,0.99419236
296,0.99736536
297,0.9922969
298,0.9975097
299,0.9981116
300,0.9959767
301,0.99934626
302,0.99710333
303,0.9955414
304,0.9938816
305,0.9932696
306,0.9952955
307,0.991686
308,0.9969782
309,0.9965329
310,0.9927431
311,0.9985708
312,0.9976084
313,0.9942198
314,0.996886
315,0.99759144
316,0.99538517
317,0.9968481
318,0.9968066
319,0.9955438
320,0.99447095
321,0.99632365
322,0.9959258
323,0.9953255
324,0.9895275
325,0.996037
326,0.9846808
327,0.9991126
328,0.99620295
329,0.9955455
330,0.9922192
331,0.9971733
332,0.9764134
333,0.9970535
334,0.99717224
335,0.99618244
336,0.9973368
337,0.99622047
338,0.99863756
339,0.98086435
340,0.9946722
341,0.99760616
342,0.99609065
343,0.9962375
344,0.9957869
345,0.9969073
346,0.9980785
347,0.9961019
348,0.99556303
349,0.9966077
350,0.994251
351,0.9944966
352,0.9976326
353,0.9955766
354,0.9969156
355,0.99618506
356,0.9960106
357,0.99801326
358,0.9967309
359,0.99711776
360,0.9978453
361,0.99663603
362,0.9945487
363,0.994894
364,0.99564505
365,0.9990479
366,0.99718106
367,0.9976698
368,0.9967077
369,0.99830186
370,0.97036576
371,0.9960549
372,0.99623245
373,0.9894552
374,0.9976367
375,0.997874
376,0.99530506
377,0.9973942
378,0.99900424
379,0.99155116
380,0.9966588
381,0.9953129
382,0.99520445
383,0.99696743
384,0.9968474
385,0.9963697
386,0.995021
387,0.9956982
388,0.9966098
389,0.99745095
390,0.99814856
391,0.99582374
392,0.99860966
393,0.99452853
394,0.9976791
395,0.9915776
396,0.9961475
397,0.99766946
398,0.99522364
399,0.9934026
400,0.997826
401,0.9973197
402,0.99919873
403,0.9971111
404,0.99667
405,0.9976381
406,0.9961095
407,0.99517286
408,0.9976736
409,0.99674034
410,0.99572414
411,0.99705684
412,0.99662626
413,0.9968719
414,0.99759376
415,0.9968053
416,0.9898374
417,0.99556416
418,0.99923444
419,0.99785167
420,0.99673486
421,0.9944979
422,0.989218
423,0.9967363
424,0.9968401
425,0.9972354
426,0.9948924
427,0.9976579
428,0.99851704
429,0.99610037
430,0.99345344
431,0.9968121
432,0.990467
433,0.99293137
434,0.998612
435,0.99196506
436,0.9946327
437,0.9970887
438,0.9867203
439,0.9981104
440,0.9945214
441,0.9931034
442,0.9819241
443,0.9930309
444,0.9447816
445,0.99714136
446,0.9958052
447,0.9975513
448,0.9994892
449,0.99801075
450,0.9966811
451,0.99762726
452,0.9988042
453,0.9943509
454,0.9962642
455,0.9917195
456,0.99902916
457,0.9912814
458,0.9846139
459,0.99643844
460,0.9973025
461,0.99441653
462,0.9973876
463,0.9977222
464,0.991041
465,0.9985467
466,0.99334455
467,0.9969888
468,0.99953556
469,0.99186814
470,0.99591327
471,0.99648345
472,0.99629015
473,0.99554765
474,0.99475014
475,0.97410536
476,0.9968581
477,0.99293655
478,0.99962115
479,0.9830409
480,0.99765044
481,0.9958879
482,0.99892807
483,0.982041
484,0.9998014
485,0.99581206
486,0.9985572
487,0.99742115
488,0.99580324
489,0.99667627
490,0.99740815
491,0.9950719
492,0.996867
493,0.9918989
494,0.9959184
495,0.99639904
496,0.99492216
497,0.9951917
498,0.99784625
499,0.99667203
500,0.99987465
501,0.99386704
502,0.99771357
503,0.9964334
504,0.99274045
505,0.99523205
506,0.9951935
507,0.99795496
508,0.9988227
509,0.99835324
510,0.9895935
511,0.9953073
512,0.99717975
513,0.99248695
514,0.99846077
515,0.9957796
516,0.9954606
517,0.99442446
518,0.9964208
519,0.9971057
520,0.972389
521,0.99791026
522,0.9969093
523,0.9962225
524,0.9965378
525,0.9996269
526,0.9975748
527,0.99808246
528,0.97858554
529,0.9900565
530,0.9907429
531,0.9966717
532,0.99697846
533,0.91001403
534,0.9980858
535,0.99756384
536,0.9977282
537,0.9960304
538,0.99542683
539,0.9954874
540,0.9964565
541,0.9963314
542,0.99911785
543,0.9966949
544,0.9915167
545,0.9966847
546,0.973981
547,0.99764824
548,0.9973415
549,0.993187
550,0.9970504
551,0.9959745
552,0.9992185
553,0.9945079
554,0.99710107
555,0.9961932
556,0.9848256
557,0.9968803
558,0.9965982
559,0.9947573
560,0.9987085
561,0.99747205
562,0.9956464
563,0.98759484
564,0.9987689
565,0.99966156
566,0.99320185
567,0.99592376
568,0.9312725
569,0.9973836
570,0.9982822
571,0.9963454
572,0.99817646
573,0.9909225
574,0.9982375
575,0.99302375
576,0.9971406
577,0.9962672
578,0.98778087
579,0.9996754
580,0.99787545
581,0.9829615
582,0.9960553
583,0.9989855
584,0.991441
585,0.99710304
586,0.99772006
587,0.9954095
588,0.9970918
589,0.9993032
590,0.9993032
591,0.9960233
592,0.99660295
593,0.9811937
594,0.9987201
595,0.9974692
596,0.9983682
597,0.99699575
598,0.9992417
599,0.97971696
600,0.9946351
601,0.9956775
602,0.9972421
603,0.9922558
604,0.9956332
605,0.9958588
606,0.99727744
607,0.93337774
608,0.9986687
609,0.9978648
610,0.98951495
611,0.9939318
612,0.99560887
613,0.9964787
614,0.99338984
615,0.99704605
616,0.9995153
617,0.9995153
618,0.9995153
619,0.9995153
620,0.9995153
621,0.9995153
622,0.9995153
623,0.9995153
624,0.9995153
625,0.9995153
626,0.9995153
627,0.9995153
628,0.9995153
629,0.9995153
630,0.9995153
631,0.9995153
632,0.9974496
633,0.99605525
634,0.9965397
635,0.98723507
636,0.99633694
637,0.9968659
638,0.99718094
639,0.9972105
640,0.9962404
641,0.9954112
642,0.9962845
643,0.99622947
644,0.9971962
645,0.99703646
646,0.99825907
647,0.99709594
648,0.99717367
649,0.9992939
650,0.99851793
651,0.99611616
652,0.9929099
653,0.9955513
654,0.9936913
655,0.9966744
656,0.9990816
657,0.99805844
658,0.9972205
659,0.9960114
660,0.99759007
661,0.9967122
662,0.9952528
663,0.9979304
664,0.99684083
665,0.9952599
666,0.99367857
667,0.99616075
668,0.99751496
669,0.99554473
670,0.9957895
671,0.9965383
672,0.99413556
673,0.9976564
674,0.9998032
675,0.99736845
676,0.99766016
677,0.99985844
678,0.99869245
679,0.9969517
680,0.99739456
681,0.9960377
682,0.99908113
683,0.9948505
684,0.9946701
685,0.999681
686,0.99479806
687,0.99805
688,0.9974039
689,0.9938421
690,0.99776125
691,0.9969082
692,0.98115504
693,0.9988963
694,0.9968251
695,0.997132
696,0.9966627
697,0.9919651
698,0.99580574
699,0.9969587
700,0.995553
701,0.98030037
702,0.99727285
703,0.9971842
704,0.99873924
705,0.98641825
706,0.9057136
707,0.9966866
708,0.99361336
709,0.99627024
710,0.99859
711,0.9977642
712,0.9971552
713,0.99877954
714,0.99983954
715,0.9989146
716,0.9959531
717,0.99700594
718,0.99775064
719,0.9962617
720,0.9869851
721,0.9953979
722,0.99941003
723,0.9948078
724,0.9960655
725,0.998289
726,0.9916543
727,0.99402106
728,0.9930721
729,0.9977801
730,0.9973756
731,0.9971833
732,0.99005747
733,0.99697256
734,0.99767494
735,0.996301
736,0.9938766
737,0.98904586
738,0.9846415
739,0.99731636
740,0.99438846
741,0.9875721
742,0.9966955
743,0.99999964
744,0.9964892
745,0.9961442
746,0.99466866
747,0.9968207
748,0.9993949
749,0.9971075
750,0.99685967
751,0.9972794
752,0.9944037
753,0.9969145
754,0.99506176
755,0.9961226
756,0.99762905
757,0.99557406
758,0.9939836
759,0.9883542
760,0.9932863
761,0.9993411
762,0.99773705
763,0.97963583
764,0.9954911
765,0.99643445
766,0.99610144
767,0.99574864
768,0.99721384
769,0.9963336
770,0.9988408
771,0.9843098
772,0.9953016
773,0.9980409
774,0.998013
775,0.98628545
776,0.99761724
777,0.98333293
778,0.99864197
779,0.9948891
780,0.9999832
781,0.9965439
782,0.9905568
783,0.9970659
784,0.99651134
785,0.9963884
786,0.9960234
787,0.9987593
788,0.9771224
789,0.99740136
790,0.99844563
791,0.97895074
792,0.9987618
793,0.98800516
794,0.99545103
795,0.9882801
796,0.99644023
797,0.99477804
798,0.996771
799,0.9963779
800,0.99658394
801,0.99801654
802,0.99901575
803,0.98836553
804,0.9977679
805,0.99978113
806,0.9900279
807,0.99887896
808,0.98856425
809,0.9923714
810,0.99649215
811,0.99623775
812,0.99676657
813,0.996128
814,0.9952549
815,0.99380445
816,0.9995184
817,0.99796796
818,0.98980224
819,0.9943115
820,0.9949884
821,0.99710846
822,0.99601126
823,0.9903691
824,0.9967017
825,0.9965713
826,0.99672747
827,0.979763
828,0.9930235
829,0.99747276
830,0.9819728
831,0.9968382
832,0.99683523
833,0.99778175
834,0.9966425
835,0.99682844
836,0.9804007
837,0.9956582
838,0.99664664
839,0.99645567
840,0.9942661
841,0.9992942
842,0.99697584
843,0.99584043
844,0.99604535
845,0.9977435
846,0.99302727
847,0.99736595
848,0.99348044
849,0.99609494
850,0.9968529
851,0.9942832
852,0.99607974
853,0.9896667
854,0.9975908
855,0.99903655
856,0.99709225
857,0.9963868
858,0.99598
859,0.99724764
860,0.99982685
861,0.9994509
862,0.9823904
863,0.9972768
864,0.9958538
865,0.99537843
866,0.9911066
867,0.99717146
868,0.99800676
869,0.9999716
870,0.9963511
871,0.9972401
872,0.9971037
873,0.99705064
874,0.99790883
875,0.99722636
876,0.99892855
877,0.99841845
878,0.99920714
879,0.99441695
880,0.9914708
881,0.9967414
882,0.9974481
883,0.98620665
884,0.9976604
885,0.9944135
886,0.99381894
887,0.99672043
888,0.992726
889,0.9968991
890,0.99439156
891,0.9997668
892,0.9968853
893,0.9910463
894,0.98039985
895,0.9266069
896,0.99542266
897,0.9960742
898,0.99821657
899,0.9977665
900,0.998407
901,0.99736154
902,0.9979341
903,0.9963281
904,0.9972941
905,0.9817039
906,0.9987433
907,0.9594832
908,0.99760956
909,0.99533904
910,0.9975246
911,0.99537635
912,0.9911363
913,0.9963323
914,0.9985603
915,0.9921955
916,0.9976619
917,0.9953046
918,0.99682915
919,0.9948549
920,0.9890948
921,0.9979025
922,0.9949318
923,0.99821144
924,0.9971986
925,0.9979295
926,0.9957504
927,0.9963255
928,0.9959992
929,0.9940573
930,0.9952444
931,0.9940976
932,0.9982034
933,0.99690944
934,0.9925014
935,0.99636084
936,0.99615973
937,0.98704225
938,0.99698913
939,0.997005
940,0.98692405
941,0.9993355
942,0.99767137
943,0.99700046
944,0.99877334
945,0.9979968
946,0.9963361
947,0.9962585
948,0.99607
949,0.9715663
950,0.99603707
951,0.9981955
952,0.9966315
953,0.996948
954,0.9984116
955,0.99356806
956,0.9973762
957,0.9948038
958,0.9965986
959,0.9961958
960,0.9967655
961,0.9957228
962,0.991753
963,0.99775815
964,0.9968668
965,0.9967288
966,0.99518275
967,0.9972609
968,0.9965969
969,0.9987575
970,0.99745125
971,0.9955808
972,0.9913751
973,0.9974593
974,0.9943461
975,0.99882066
976,0.99678797
977,0.99649364
978,0.9969216
979,0.98779356
980,0.99918276
981,0.9975159
982,0.9973935
983,0.99848443
984,0.9962002
985,0.9951384
986,0.9961536
987,0.9983654
988,0.9981944
989,0.99347806
990,0.99736536
991,0.9977582
992,0.98410034
993,0.9958143
994,0.99656963
995,0.9975573
996,0.93894446
997,0.9959834
998,0.99682224
999,0.99729013
1000,0.9674766
1001,0.9800157
1002,0.99452096
1003,0.99670625
1004,0.99741244
1005,0.996691
1006,0.9961742
1007,0.9964092
1008,0.9929534
1009,0.9965768
1010,0.9915396
1011,0.9977443
1012,0.9959707
1013,0.9750804
1014,0.9919447
1015,0.9954692
1016,0.99273026
1017,0.99304056
1018,0.9993111
1019,0.99511445
1020,0.94302535
1021,0.9975691
1022,0.9989704
1023,0.99598074
1024,0.99703664
1025,0.9959707
1026,0.9911094
1027,0.99767685
1028,0.99705064
1029,0.99718916
1030,0.99624765
1031,0.99657226
1032,0.99313164
1033,0.9988978
1034,0.9960391
1035,0.9964347
1036,0.9934882
1037,0.99773043
1038,0.99535644
1039,0.99618447
1040,0.9954487
1041,0.9971771
1042,0.99796224
1043,0.99742305
1044,0.99675125
1045,0.9918692
1046,0.9989563
1047,0.9961316
1048,0.9974296
1049,0.9969314
1050,0.99593645
1051,0.9969144
1052,0.9983243
1053,0.99408185
1054,0.99442995
1055,0.99658954
1056,0.9937756
1057,0.99878263
1058,0.99754465
1059,0.9942014
1060,0.9982345
1061,0.9982345
1062,0.9964565
1063,0.99754703
1064,0.99653107
1065,0.9963504
1066,0.9922775
1067,0.99589825
1068,0.99866474
1069,0.9962771
1070,0.9981332
1071,0.99717975
1072,0.99891526
1073,0.9974714
1074,0.9986638
1075,0.9737599
1076,0.99756515
1077,0.99500656
1078,0.9978988
1079,0.99661005
1080,0.9767587
1081,0.9939618
1082,0.9960862
1083,0.9969189
1084,0.9957316
1085,0.99747723
1086,0.9955696
1087,0.99684
1088,0.9971516
1089,0.99730915
1090,0.99593234
1091,0.99605215
1092,0.99740064
1093,0.9935051
1094,0.99999714
1095,0.9970214
1096,0.9975698
1097,0.9988388
1098,0.9953375
1099,0.99920815
1100,0.9982836
1101,0.9974704
1102,0.9970459
1103,0.994144
1104,0.99267447
1105,0.98949254
1106,0.9952746
1107,0.99573255
1108,0.99642515
1109,0.95509326
1110,0.9967948
1111,0.9935992
1112,0.99708223
1113,0.99624646
1114,0.9975613
1115,0.99565846
1116,0.9715283
1117,0.9969218
1118,0.9910975
1119,0.9975096
1120,0.9851222
1121,0.997995
1122,0.99482155
1123,0.99763083
1124,0.99743533
1125,0.9962468
1126,0.99402237
1127,0.9995096
1128,0.99560535
1129,0.9966744
1130,0.9936327
1131,0.9856204
1132,0.9927552
1133,0.9799372
1134,0.99731445
1135,0.99696183
1136,0.99415773
1137,0.99783033
1138,0.995427
1139,0.99785656
1140,0.9949881
1141,0.9946612
1142,0.9975451
1143,0.99741113
1144,1.0
1145,0.99691606
1146,0.9967769
1147,0.99554497
1148,0.9912611
1149,0.997737
1150,0.9884136
1151,0.99655807
1152,0.9971425
1153,0.99766046
1154,0.9936812
1155,0.99689895
1156,0.9970918
1157,0.9982206
1158,0.99922293
1159,0.9941759
1160,0.99713975
1161,0.99216175
1162,0.9953377
1163,0.99626195
1164,0.9977925
1165,0.98066723
1166,0.9990667
1167,0.996948
1168,0.9973977
1169,0.9959065
1170,0.99568313
1171,0.996053
1172,0.99684644
1173,0.9980409
1174,0.9967689
1175,0.9988838
1176,0.988744
1177,0.9958612
1178,0.9973446
1179,0.9966486
1180,0.99337393
1181,0.998119
1182,0.9987998
1183,0.9977641
1184,0.99802035
1185,0.9970145
1186,0.98832667
1187,0.9949938
1188,0.99673223
1189,0.9968617
1190,0.99244595
1191,0.9968295
1192,0.99827087
1193,0.9949187
1194,0.9972984
1195,0.9962549
1196,0.9974142
1197,0.9957889
1198,0.99519587
1199,0.9970052
1200,0.99174577
1201,0.99798155
1202,0.9932903
1203,0.9979584
1204,0.997108
1205,0.9957384
1206,0.9964919
1207,0.9947969
1208,0.9987418
1209,0.9969958
1210,0.99610496
1211,0.99666166
1212,0.9968571
1213,0.9961096
1214,0.99789095
1215,0.997944
1216,0.9980945
1217,0.98532426
1218,0.9897325
1219,0.9964026
1220,0.93626654
1221,0.99799407
1222,0.99263906
1223,0.99549794
1224,0.9852464
1225,0.99665725
1226,0.9962394
1227,0.99487686
1228,0.992453
1229,0.994243
1230,0.997702
1231,0.99715817
1232,0.99455535
1233,0.9966187
1234,0.9911535
1235,0.99651885
1236,0.9932414
1237,0.99732554
1238,0.99733603
1239,0.99593693
1240,0.9952544
1241,0.9956615
1242,0.99752927
1243,0.9990153
1244,0.9968511
1245,0.996752
1246,0.9965949
1247,0.9808693
1248,0.9967454
1249,0.9958345
1250,0.99433297
1251,0.99698675
1252,0.99619055
1253,0.9970564
1254,0.99503696
1255,0.99429965
1256,0.9932307
1257,0.99648404
1258,0.9970155
1259,0.9787183
1260,0.9982377
1261,0.99729455
1262,0.9988065
1263,0.9988266
1264,0.99661255
1265,0.99682254
1266,0.99423677
1267,0.98744345
1268,0.99707806
1269,0.9935885
1270,0.99360913
1271,0.9974405
1272,0.9977943
1273,0.9964631
1274,0.9954864
1275,0.99730814
1276,0.9970303
1277,0.9944686
1278,0.99563193
1279,0.99510133
1280,0.9994853
1281,0.995991
1282,0.9952198
1283,0.997385
1284,0.99376786
1285,0.99435496
1286,0.86366934
1287,0.9956938
1288,0.99833894
1289,0.99620473
1290,0.9969901
1291,0.9960903
1292,0.99452186
1293,0.99734086
1294,0.9950162
1295,0.9908306
1296,0.99741286
1297,0.9973391
1298,0.997843
1299,0.99206114
1300,0.98984015
1301,0.99684584
1302,0.99806845
1303,0.99527633
1304,0.9900687
1305,0.9941743
1306,0.9965435
1307,0.9929801
1308,0.99551475
1309,0.9965677
1310,0.99610627
1311,0.9953728
1312,0.99275684
1313,0.99431705
1314,0.9971367
1315,0.9952121
1316,0.99501365
1317,0.9967357
1318,0.9938286
1319,0.99791235
1320,0.998351
1321,0.99780303
1322,0.9946329
1323,0.99861234
1324,0.98760307
1325,0.9975662
1326,0.9962938
1327,0.99061847
1328,0.9924049
1329,0.9982694
1330,0.95054424
1331,0.9974205
1332,0.9970168
1333,0.9964833
1334,0.9966343
1335,0.99726516
1336,0.9929391
1337,0.9918511
1338,0.9968487
1339,0.99604386
1340,0.9982103
1341,0.99293715
1342,0.9886048
1343,0.998148
1344,0.9972255
1345,0.9964876
1346,0.9977975
1347,0.99591255
1348,0.9949082
1349,0.9978391
1350,0.9982883
1351,0.99659276
1352,0.9958997
1353,0.9944931
1354,0.99891955
1355,0.99653244
1356,0.99973285
1357,0.99964225
1358,0.99964225
1359,0.9980632
1360,0.9965424
1361,0.99732673
1362,0.9937655
1363,0.9995153
1364,0.9995153
1365,0.9995153
1366,0.9995153
1367,0.9995153
1368,0.9995153
1369,0.9995153
1370,0.9995153
1371,0.9995153
1372,0.9995153
1373,0.9995153
1374,0.9995153
1375,0.9995153
1376,0.9995153
1377,0.9995153
1378,0.9995153
1379,0.99609786
1380,0.9990488
1381,0.99678856
1382,0.99727476
1383,0.9968988
1384,0.9961101
1385,0.9993893
1386,0.99574673
1387,0.998835
1388,0.99892133
1389,0.9950484
1390,0.99339837
1391,0.99786925
1392,0.99967015
1393,0.9973924
1394,0.991527
1395,0.9974966
1396,0.99745584
1397,0.9938338
1398,0.9974673
1399,0.9889401
1400,0.9966537
1401,0.9798043
1402,0.99630046
1403,0.9974715
1404,0.998109
1405,0.9936403
1406,0.9896598
1407,0.99463
1408,0.9937552
1409,0.99716496
1410,0.9985802
1411,0.9965991
1412,0.99991333
1413,0.9994771
1414,0.99649054
1415,0.99642897
1416,0.9964794
1417,0.9957783
1418,0.9862509
1419,0.9965036
1420,0.9977673
1421,0.9978794
1422,0.9928244
1423,0.9956576
1424,0.999399
1425,0.9979595
1426,0.995652
1427,0.99502087
1428,0.97503567
1429,0.998211
1430,0.9948677
1431,0.9965809
1432,0.9954402
1433,0.9985622
1434,0.99283946
1435,0.9970907
1436,0.9872584
1437,0.9982988
1438,0.9973426
1439,0.9925177
1440,0.99675
1441,0.99811447
1442,0.9963945
1443,0.9970087
1444,0.99699533
1445,0.9967208
1446,0.99563646
1447,0.9961537
1448,0.99817085
1449,0.99915624
1450,0.9981781
1451,0.99621093
1452,0.99400806
1453,0.99841565
1454,0.99656147
1455,0.9600172
1456,0.99680936
1457,0.9969861
1458,0.99891245
1459,0.99635947
1460,0.9969746
1461,0.99785036
1462,0.9912876
1463,0.99526894
1464,0.97995687
1465,0.9930941
1466,0.99946225
1467,0.991621
1468,0.98832625
1469,0.99646974
1470,0.99740684
1471,0.9962287
1472,0.9848558
1473,0.99759257
1474,0.99566424
1475,0.9980732
1476,0.9972158
1477,0.9998059
1478,0.9905611
1479,0.9962759
1480,0.99729663
1481,0.9989589
1482,0.9988444
1483,0.99635756
1484,0.99697685
1485,0.996241
1486,0.99689174
1487,0.9986613
1488,0.99468493
1489,0.99585867
1490,0.99136895
1491,0.99771774
1492,0.9987391
1493,0.9963654
1494,0.9731254
1495,0.9948753
1496,0.98734844
1497,0.9985088
1498,0.9950136
1499,0.9958741
1500,0.9984635
1501,0.99887013
1502,0.998711
1503,0.99943686
1504,0.9987916
1505,0.99410605
1506,0.99851733
1507,0.99243385
1508,0.99431396
1509,0.9871756
1510,0.99709594
1511,0.9852004
1512,0.9957186
1513,0.8793134
1514,0.99678856
1515,0.99878013
1516,0.9954045
1517,0.9841253
1518,0.99652445
1519,0.9970802
1520,0.997321
1521,0.9983035
1522,0.99632376
1523,0.997113
1524,0.99503934
1525,0.99526477
1526,0.9878701
1527,0.9961941
1528,0.99856484
1529,0.99625146
1530,0.99682105
1531,0.9976983
1532,0.997516
1533,0.9565356
1534,0.997728
1535,0.99356145
1536,0.99347544
1537,0.86023206
1538,0.9985833
1539,0.9982208
1540,0.9975698
1541,0.99666005
1542,0.99207413
1543,0.9984119
1544,0.9970984
1545,0.9927069
1546,0.9904354
1547,0.99840724
1548,0.99987465
1549,0.998664
1550,0.9953437
1551,0.9966526
1552,0.99210584
1553,0.9987252
1554,0.9987252
1555,0.9845724
1556,0.99596024
1557,0.9974508
1558,0.9969797
1559,0.9910066
1560,0.99791586
1561,0.9938196
1562,0.97799724
1563,0.9970118
1564,0.9992018
1565,0.98098034
1566,0.9966877
1567,0.99027
1568,0.9957569
1569,0.99709
1570,0.99581385
1571,0.9965744
1572,0.9944349
1573,0.9963646
1574,0.9972568
1575,0.99465704
1576,0.9968898
1577,0.99711365
1578,0.99766636
1579,0.995951
1580,0.99597883
1581,0.9992856
1582,0.9949981
1583,0.99906194
1584,0.99580246
1585,0.99777997
1586,0.9918103
1587,0.9836836
1588,0.9939375
1589,0.9974493
1590,0.9969752
1591,0.99736196
1592,0.99672616
1593,0.99371225
1594,0.9969045
1595,0.9976532
1596,0.99570286
1597,0.9943232
1598,0.9899859
1599,0.99851525
1600,0.99411166
1601,0.99692535
1602,0.9859593
1603,0.9965422
1604,0.9981929
1605,0.99715036
1606,0.9996269
1607,0.99345684
1608,0.9954951
1609,0.99813104
1610,0.99235415
1611,0.9974166
1612,0.9992236
1613,0.9999895
1614,0.9969835
1615,0.9971391
1616,0.9961277
1617,0.98674095
1618,0.98955774
1619,0.99703246
1620,0.9970465
1621,0.9964215
1622,0.99858654
1623,0.9968698
1624,0.9948461
1625,0.9948461
1626,0.9948461
1627,0.9948461
1628,0.9948461
1629,0.9948461
1630,0.9948461
1631,0.9948461
1632,0.9948461
1633,0.9828118
1634,0.9964851
1635,0.99716586
1636,0.9983949
1637,0.9969825
1638,0.9939021
1639,0.99473673
1640,0.99506986
1641,0.9960034
1642,0.99745834
1643,0.99511623
1644,0.9972627
1645,0.9974798
1646,0.99656856
1647,0.9965852
1648,0.99676245
1649,0.9803575
1650,0.99809456
1651,0.99442875
1652,0.9962071
1653,0.9956537
1654,0.9904188
1655,0.99700403
1656,0.9976151
1657,0.9970689
1658,0.9971986
1659,0.9971986
1660,0.9946079
1661,0.9968469
1662,0.9782567
1663,0.9947977
1664,0.9949015
1665,0.9810134
1666,0.9923068
1667,0.99556375
1668,0.9962281
1669,0.99739045
1670,0.99765456
1671,0.99799144
1672,0.99549997
1673,0.99842435
1674,0.96514195
1675,0.9967549
